Wall time,Step,Value
1717478721.269211,0,2.3006834983825684
1717478727.987549,1,2.29174542427063
1717478734.7047093,2,2.2831180095672607
1717478741.3864555,3,2.273535966873169
1717478748.1260347,4,2.263174057006836
1717478754.924107,5,2.249983549118042
1717478762.04467,6,2.234504461288452
1717478768.6546376,7,2.2154622077941895
1717478775.5905895,8,2.1918246746063232
1717478782.521896,9,2.161330461502075
1717478789.3861935,10,2.1222007274627686
1717478795.9358926,11,2.072613000869751
1717478802.438387,12,2.0088696479797363
1717478809.0481794,13,1.9258241653442383
1717478815.48677,14,1.8263899087905884
1717478821.9336476,15,1.7107923030853271
1717478828.447122,16,1.582730770111084
1717478834.8342018,17,1.4523192644119263
1717478841.3710926,18,1.3324412107467651
1717478847.8966377,19,1.224595546722412
1717478854.5437198,20,1.134240746498108
1717478861.0809257,21,1.0652947425842285
1717478867.5805476,22,1.0011557340621948
1717478874.1580696,23,0.9445436000823975
1717478880.582873,24,0.9038717150688171
1717478887.0427563,25,0.8645786046981812
1717478893.562294,26,0.8337314128875732
1717478899.999086,27,0.8023358583450317
1717478906.4907331,28,0.7788808345794678
1717478912.9904776,29,0.7565542459487915
1717478919.5355697,30,0.7353011965751648
1717478926.117848,31,0.7202281951904297
1717478932.534972,32,0.7080093026161194
1717478939.1250103,33,0.6897737383842468
1717478945.54927,34,0.6762869954109192
1717478951.986639,35,0.6634731888771057
1717478958.4406261,36,0.6543969511985779
1717478964.8136067,37,0.6385009288787842
1717478971.6118572,38,0.6260824799537659
1717478979.4217885,39,0.6219965815544128
1717478986.8459032,40,0.613224983215332
1717478993.6670473,41,0.608119547367096
1717479000.4718554,42,0.597329318523407
1717479007.584084,43,0.5892099142074585
1717479014.863797,44,0.581222414970398
1717479021.8401985,45,0.5766205787658691
1717479029.401235,46,0.5693309903144836
1717479036.3293958,47,0.5588975548744202
1717479043.2987926,48,0.5530092120170593
1717479050.9153905,49,0.5524429082870483
1717479057.9271505,50,0.541651725769043
1717479064.7819538,51,0.5384012460708618
1717479071.6153913,52,0.5313816666603088
1717479078.5107553,53,0.5279894471168518
1717479085.2617333,54,0.5224719643592834
1717479092.016462,55,0.5161015391349792
1717479098.9924028,56,0.5132322311401367
1717479105.7808423,57,0.5075966119766235
1717479112.7380552,58,0.5038533210754395
1717479119.6849613,59,0.5028667449951172
1717479126.5020533,60,0.49794429540634155
1717479133.313336,61,0.49365827441215515
1717479140.144001,62,0.4888123869895935
1717479147.0029984,63,0.4858371913433075
1717479154.2628124,64,0.477298766374588
1717479161.2709184,65,0.47810232639312744
1717479168.5323286,66,0.4734044373035431
1717479175.534453,67,0.4709932804107666
1717479182.1605213,68,0.46917274594306946
1717479189.2951965,69,0.46491342782974243
1717479196.1904798,70,0.46322527527809143
1717479203.5144482,71,0.45632195472717285
1717479210.4432652,72,0.45430251955986023
1717479217.262019,73,0.4523806571960449
1717479224.4090567,74,0.4465833008289337
1717479231.4709806,75,0.44068655371665955
1717479238.9521348,76,0.4415815770626068
1717479245.7822242,77,0.4375856816768646
1717479252.515819,78,0.43283504247665405
1717479258.9789636,79,0.4336604177951813
1717479265.4835792,80,0.4307039976119995
1717479272.0914903,81,0.4270138144493103
1717479278.7253852,82,0.4238557815551758
1717479285.4058356,83,0.42393484711647034
1717479292.7861085,84,0.4185585081577301
1717479299.4650443,85,0.41870638728141785
1717479306.8639288,86,0.4142850339412689
1717479313.740023,87,0.411251038312912
1717479321.0820045,88,0.40979307889938354
1717479327.9485016,89,0.40830668807029724
1717479334.4483707,90,0.4036268889904022
1717479340.8512776,91,0.40251630544662476
1717479347.508317,92,0.4014395773410797
1717479354.9094903,93,0.40006399154663086
1717479361.380451,94,0.39538636803627014
1717479367.7332416,95,0.3939841091632843
1717479374.4260778,96,0.39102762937545776
1717479381.6395018,97,0.3909342885017395
1717479388.2781699,98,0.3860655128955841
1717479394.8160343,99,0.3817385137081146
