Wall time,Step,Value
1717483880.376064,0,81.85294342041016
1717483888.1293426,1,94.0568618774414
1717483895.9624908,2,95.91960906982422
1717483903.7365882,3,96.76863098144531
1717483911.1245213,4,97.20980072021484
1717483918.1948578,5,97.61764526367188
1717483925.5326307,6,97.8803939819336
1717483932.7468524,7,98.0254898071289
1717483940.010224,8,98.20587921142578
1717483947.495924,9,98.311767578125
1717483955.5034728,10,98.4000015258789
1717483963.2482517,11,98.57450866699219
1717483970.7565722,12,98.57254791259766
1717483978.2448978,13,98.67646789550781
1717483985.5098379,14,98.77843475341797
1717483992.8190541,15,98.80000305175781
1717484000.2755165,16,98.82941436767578
1717484007.6678712,17,98.89019775390625
1717484015.1450007,18,98.9058837890625
1717484022.6272552,19,99.02156829833984
1717484029.9748623,20,98.99019622802734
1717484037.3625329,21,99.09803771972656
1717484044.709172,22,99.16470336914062
1717484052.0069907,23,99.12940979003906
1717484059.33338,24,99.1196060180664
1717484066.7599766,25,99.09019470214844
1717484074.360419,26,99.22156524658203
1717484081.682657,27,99.2254867553711
1717484089.0113611,28,99.29412078857422
1717484096.3334417,29,99.26470947265625
1717484103.596462,30,99.27255249023438
1717484110.7705219,31,99.33529663085938
1717484117.9693952,32,99.34117889404297
1717484125.115995,33,99.4058837890625
1717484132.2649708,34,99.38235473632812
1717484139.446709,35,99.40196228027344
1717484146.6712356,36,99.37451171875
1717484153.8748093,37,99.45686340332031
1717484161.2121732,38,99.49215698242188
1717484168.4778252,39,99.41764831542969
1717484175.6552038,40,99.50392150878906
1717484182.854795,41,99.4627456665039
1717484190.1179974,42,99.47843170166016
1717484197.2775824,43,99.51568603515625
1717484204.5126843,44,99.51372528076172
1717484211.7448428,45,99.50392150878906
1717484218.9190862,46,99.51960754394531
1717484226.2126577,47,99.52352905273438
1717484233.504731,48,99.5568618774414
1717484240.7108972,49,99.57254791259766
1717484247.930372,50,99.58039093017578
1717484255.09026,51,99.54705810546875
1717484262.1784444,52,99.5568618774414
1717484269.3257408,53,99.59607696533203
1717484276.5534492,54,99.60588073730469
1717484283.76069,55,99.58039093017578
1717484290.9700418,56,99.62156677246094
1717484298.4809563,57,99.59019470214844
1717484305.7422078,58,99.60980224609375
1717484312.972711,59,99.64705657958984
1717484320.3106377,60,99.62940979003906
1717484327.6723266,61,99.63725280761719
1717484334.9105718,62,99.688232421875
1717484342.1868484,63,99.63333129882812
1717484349.5482345,64,99.67646789550781
1717484356.8114588,65,99.688232421875
1717484364.0658832,66,99.688232421875
1717484371.2996893,67,99.67254638671875
1717484378.500805,68,99.6627426147461
1717484385.714076,69,99.67058563232422
1717484392.8691661,70,99.67842864990234
1717484399.980462,71,99.66470336914062
1717484407.1422405,72,99.68431091308594
1717484414.4417691,73,99.65489959716797
1717484421.777492,74,99.71764373779297
1717484429.0911708,75,99.72940826416016
1717484436.4427085,76,99.69019317626953
1717484443.6921449,77,99.67450714111328
1717484450.9060202,78,99.73921203613281
1717484458.1602235,79,99.75882720947266
1717484465.773702,80,99.6941146850586
1717484473.188155,81,99.7254867553711
1717484480.537867,82,99.7254867553711
1717484487.7837956,83,99.71176147460938
1717484495.0148993,84,99.73332977294922
1717484502.4093697,85,99.7137222290039
1717484509.682974,86,99.75294494628906
1717484516.8736222,87,99.72744750976562
1717484523.9230034,88,99.74117279052734
1717484531.033185,89,99.74705505371094
1717484538.1717076,90,99.75686645507812
1717484545.3153386,91,99.73725128173828
1717484552.4162543,92,99.75294494628906
1717484559.4632564,93,99.7450942993164
1717484566.577499,94,99.7549057006836
1717484573.80874,95,99.75686645507812
1717484580.8219259,96,99.76470947265625
1717484587.858092,97,99.76274871826172
1717484594.877737,98,99.79804229736328
1717484601.8907838,99,99.77843475341797
