Wall time,Step,Value
1717483878.4864945,0,0.7166218757629395
1717483885.145717,1,0.3380218744277954
1717483892.0253794,2,0.27950310707092285
1717483898.7158484,3,0.24162743985652924
1717483905.2256346,4,0.21306811273097992
1717483911.7186158,5,0.1906547099351883
1717483918.2511072,6,0.17333300411701202
1717483924.756482,7,0.15723802149295807
1717483931.2256691,8,0.14436304569244385
1717483937.6825447,9,0.13350361585617065
1717483944.0326626,10,0.12521447241306305
1717483950.7416842,11,0.11515773087739944
1717483957.476869,12,0.10843723267316818
1717483964.1754644,13,0.10321152210235596
1717483970.6417596,14,0.09651342034339905
1717483977.161441,15,0.09031306207180023
1717483983.5217228,16,0.08680200576782227
1717483989.972965,17,0.08266933262348175
1717483996.3832686,18,0.07795008271932602
1717484002.8526518,19,0.07384687662124634
1717484009.3621185,20,0.07125204056501389
1717484015.9156651,21,0.0674629658460617
1717484022.5221002,22,0.06405472755432129
1717484029.0891786,23,0.06193803995847702
1717484035.5180979,24,0.059491049498319626
1717484041.974681,25,0.056458063423633575
1717484048.4047472,26,0.05381475016474724
1717484054.9114618,27,0.051931969821453094
1717484061.4735708,28,0.050734709948301315
1717484068.1270237,29,0.04689621552824974
1717484074.7691224,30,0.045953419059515
1717484081.2327783,31,0.04450896754860878
1717484087.6898963,32,0.04171421006321907
1717484093.9681587,33,0.041882894933223724
1717484100.3480525,34,0.03911307826638222
1717484106.7500882,35,0.03659617155790329
1717484113.0494976,36,0.03624049574136734
1717484119.4121907,37,0.035332418978214264
1717484125.8035667,38,0.03404761478304863
1717484132.1369689,39,0.032847341150045395
1717484138.5167077,40,0.03139928728342056
1717484144.8591523,41,0.029912568628787994
1717484151.1962411,42,0.029073549434542656
1717484157.6159725,43,0.028776628896594048
1717484163.9449239,44,0.026386506855487823
1717484170.340117,45,0.026631025597453117
1717484176.7813876,46,0.025947105139493942
1717484183.156391,47,0.024562090635299683
1717484189.6568773,48,0.024082379415631294
1717484196.0472581,49,0.024079957976937294
1717484202.4137387,50,0.02321729063987732
1717484208.795825,51,0.021973932161927223
1717484215.1361449,52,0.02115814760327339
1717484221.4007134,53,0.02017182856798172
1717484227.7678802,54,0.01972810924053192
1717484234.0947053,55,0.01953156478703022
1717484240.4999137,56,0.01864675246179104
1717484246.9235194,57,0.018484773114323616
1717484253.2600474,58,0.018207795917987823
1717484259.6862125,59,0.01725558377802372
1717484266.086722,60,0.017313146963715553
1717484272.4412506,61,0.01697668433189392
1717484278.8189669,62,0.016440454870462418
1717484285.199394,63,0.015732532367110252
1717484291.5325434,64,0.015935564413666725
1717484298.134204,65,0.014603638090193272
1717484304.555987,66,0.014195730909705162
1717484310.919703,67,0.014097824692726135
1717484317.412854,68,0.013861249200999737
1717484324.0532289,69,0.012896666303277016
1717484330.4180937,70,0.013334615156054497
1717484336.924787,71,0.012240393087267876
1717484343.338117,72,0.01207789033651352
1717484349.7342346,73,0.012162730097770691
1717484356.2636466,74,0.011446195654571056
1717484362.6134837,75,0.01133020780980587
1717484368.909486,76,0.010766750201582909
1717484375.2893047,77,0.011501824483275414
1717484381.6230772,78,0.0106643782928586
1717484387.9636497,79,0.011051373556256294
1717484394.3701472,80,0.009844161570072174
1717484400.7160058,81,0.010323739610612392
1717484407.1793458,82,0.009912155568599701
1717484413.6303978,83,0.00949521642178297
1717484420.0985444,84,0.009059394709765911
1717484426.4611442,85,0.009359220042824745
1717484432.892683,86,0.008827698417007923
1717484439.249043,87,0.008822864852845669
1717484445.6055624,88,0.008526668883860111
1717484451.9899733,89,0.008946381509304047
1717484458.4025638,90,0.008366410620510578
1717484465.3349035,91,0.008362381719052792
1717484471.8359697,92,0.007962280884385109
1717484478.163876,93,0.008311859332025051
1717484484.5027351,94,0.007938750088214874
1717484490.8381102,95,0.008184877224266529
1717484497.1390977,96,0.007813376374542713
1717484503.5293436,97,0.007701661437749863
1717484509.8598988,98,0.007467246148735285
1717484516.3075037,99,0.006948086433112621
